Autor, Year, Title, Ed,Sub
Anderson. Fenwick,1986, Comic heroes. Popular culture on a pedestal, Studies in Popular Culture,academic journal
Geidtmann. HorSt. 1992,1992, Stuttgart. Germany. Metzler, Stuttgart. Germany. Metzler,
Zabel. Joe,1994, Stepping Out. ST's Joe Zabel interviews Harvey Pekar, Subliminal Tattoos,
Garrett. Charles H,1899, Opper was determined to draw, Success 2 (October 14). 761,
Unknown,1996, Creative destroyer [Todd McFarlane], Success 43(Jan/Feb).36,
Unknown,1996, The Walt Disney of Brazil [Mauricio de Sousa], Success 43(Jun).43-44,
Steinberg. Carol,1997, That's entertainment [marketing], Success 44(Jan/Feb).89,
Abbot. Dylan,2006, Marjane Satrapi in Seattle, Successless Comics Blog (June 6),
Bagge. Peter,2000, I love the Blob! [comic strip journalism on 'Experience Music Project' museum], Suck (August 25),
Spurgeon. Tom,2000, Unshakeable [comic books' survival], Suck (December 1),
Dr. Driedel,1998, Office despot [Scott Adams' Dilbert], Suck (Feb 24),
Bagge. Peter,2001, Tavern Turnover. The Evolution of Old Ballard's 'Tavern Row.' from Blue-Collar Dives to Hipster Hangouts, Suck (February 16),
Bagge. Peter,2000, Infomercial 'Oscars' [comic strip journalism], Suck (January 7),
Bagge. Peter and Bertolt Blecht,2000, Indy 2000 [comic strip journalism], Suck (July 20-21),
Cloud of Unknowing. The,1999, Ink Blot [status of comics industry], Suck (July 26),
'Destiny',1999, Strip search [poor state of comic strips], Suck (May 17),
Blecht. Bertolt,2001, Hooked On Crank [Capp. Sim. Hart. Gould. Gray. Ditko. Crumb. Chick], Suck (May 4),
Bagge. Peter,2000, The Second Coming of Alan Keyes [comic strip political journalism], Suck (May 5),
Bagge. Peter,2000, The Most Resented Woman in America [comic strip journalism on Miss America], Suck (November 17),
Destiny,1999, Psychiatric Help. 5 Cents [on Schulz retirement], Suck (November 30),
Ellis. Warren,2007, The Sunday Hangover 012 with Warren Ellis, SuicideGirls,Online
Epstein. Daniel Robert,2007, Frank Stack, SuicideGirls,Online
Epstein. Daniel Robert,2007, Mike Allred, SuicideGirls,Online
Epstein. Daniel Robert,2007, Stan Lee, SuicideGirls,Online
Epstein. Daniel Robert,2007, Kevin Eastman, SuicideGirls,Online
Epstein. Daniel Robert,2007, Howard Chaykin, SuicideGirls,Online
Dueben. Alex,2009, Greg Rucka. Whiteout, SuicideGirls,Online
Daniels. Keith,2003, Neil Gaiman [interview], SuicideGirls,Online
Epstein. Daniel Robert,2003, Brian Vaughan [interview], SuicideGirls,Online
Epstein. Daniel Robert,2003, Dork Tower [John Kovalic interview], SuicideGirls,Online
Epstein. Daniel Robert,2003, Hellboy [Mike Mignola interview], SuicideGirls,Online
Epstein. Daniel Robert,2003, Paul Giamatti [interview on Pekar's American Splendor movie], SuicideGirls,Online
Epstein. Daniel Robert,2004, Joseph Michael Linsner creator of Vampire's Christmas [interview], SuicideGirls,Online
Epstein. Daniel Robert,2004, Robert Smigel - The Best of Triumph the Insult Comic Dog DVD [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Aeon Flux creator Peter Chung [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Alex Robinson [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Antony Johnston [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Audrey Niffenegger - The Three Incestuous Sisters [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Brian Azzarello [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Brian Wood [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Charles Vess [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Family Guy Stewies Guide to World Domination author [Steve Callaghan interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Frank Miller Creator of Sin City [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Gary Panter - Jimbo in Purgatory [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Guy Davis [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Home Movies co-creator Brendon Small [animation interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Hugo Weaving [interview on movie of Alan Moore and David Lloyd graphic novel V for Vendetta], SuicideGirls,Online
Epstein. Daniel Robert,2005, Ivan Brunetti [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Johnny Ryan [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Posy Simmonds [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Ralph Steadman [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Robert Kirkman [interview], SuicideGirls,Online
Epstein. Daniel Robert,2005, Stephen Root [interview. animation voice in Ice Age. Finding Nemo. King of the Hill. Tripping the Rift], SuicideGirls,Online
Epstein. Daniel Robert,2005, Ted Naifeh [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Adventures in Oz Creator Eric Shanower, SuicideGirls,Online
Epstein. Daniel Robert,2006, Alan Moore co-creator of Lost Girls [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Aline Crumb, SuicideGirls,Online
Epstein. Daniel Robert,2006, Andy Riley [interview on cartoon books Bunny Suicides and Return of the Bunny Suicides], SuicideGirls,Online
Epstein. Daniel Robert,2006, Bill Willingham [Fables interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Bomb Queen creator Jimmie Robinson, SuicideGirls,Online
Epstein. Daniel Robert,2006, Bruce Eric Kaplan [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Bryan Hitch [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Bryan Singer director of Superman Returns [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Carlos Ezquerra [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Castle Waiting creator Linda Medley, SuicideGirls,Online
Epstein. Daniel Robert,2006, Charles Burns [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Chip Kidd [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Colleen Doran [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Dame Darcy for The Illustrated Jane Eyre, SuicideGirls,Online
Epstein. Daniel Robert,2006, Dino Stamatopoulos [Cartoon Network animator. Tom Goes to the Mayor and Moral Orel interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Family Guy - Mike Henry [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Family Guy writer Matt Fleckenstein [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Greg Rucka [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Harvey Pekar [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Hellboy creator Mike Mignola, SuicideGirls,Online
Epstein. Daniel Robert,2006, Jessica Abel [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Joe Kubert [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Jonathan Katz [animated Dr. Katz. Professional Therapist interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Jules Feiffer, SuicideGirls,Online
Epstein. Daniel Robert,2006, Lost Girls artist Melinda Gebbie [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Mike Reiss creator of Queer Duck [gay animation interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Paul Chadwick creator of Concrete, SuicideGirls,Online
Epstein. Daniel Robert,2006, Quay Brothers, SuicideGirls,Online
Epstein. Daniel Robert,2006, Richard Linklater director of A Scanner Darkly [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Robert Smigel - Best of TV Funhouse, SuicideGirls,Online
Epstein. Daniel Robert,2006, Ted Rall [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Terry Zwigoff [interview. Daniel Clowes' Art School Confidential and Ghost World], SuicideGirls,Online
Epstein. Daniel Robert,2006, The Illustrated Dracula artist Jae Lee, SuicideGirls,Online
Epstein. Daniel Robert,2006, The Tick creator Ben Edlund [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Todd McFarlane [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Tony Harris [Ex Machina interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Tony Millionaire [interview], SuicideGirls,Online
Epstein. Daniel Robert,2006, Troma co-founder Lloyd Kaufman [interview on movies influenced by comic books], SuicideGirls,Online
Epstein. Daniel Robert,2006, V for Vendetta co-creator David Lloyd [interview], SuicideGirls,Online
Epstein. Daniel Robert,2007, My Dead Girlfriend creator Eric Wight [interview], SuicideGirls,Online
Epstein. Daniel Robert,2007, Scott Pilgrim creator Bryan Lee O'Malley [interview], SuicideGirls,Online
Busby. L.J.,1975, Women and society. The mass media [women and comics], Summer CDonference of the Speech Communication Association,
Brefeld. Leslie,2006,Right Brain: Steve Ryan, Summit Daily News (August 17),
Unknown,2008, Frisco Speaker Series presents Hector Cantu, Summit Daily News (January 15),
Gelbwasser. Michael,2008, North native will sign at Boston Comic Con [Jason Burns], Sun Chronicle (April 2),
Bissme S,2009, Kampung boy unveiled [Lat], Sun Daily (April 30),
Brown. Ida,1997, Artist combines music. comic book [Russ Farris], Sun Herald [Mississippi] (Jul 21?),
Everett. Lee,1999, Vexing cartoon begs the question. Why a Tinky-Winky Ferguson [letter on editorial cartoon by Mike Mikula], Sun Weekly [Arlington. VA] (March 11). 7,
Fitzherbert. Henry,2002, Scooby-Doo dumbs down for the tots, Sunday Express (July 14),
Barry. Evonne and Tony Sheahan,2009, Favourite Fev WEG's last drawing, Sunday Herald Sun (January 4),
Millar. John,2009, Meet the stars of epic graphic novel based movie Watchmen, Sunday Mail (February 22),
Mcdonald. Toby,2009, Gerard To Star As Cartoon Pirate [Watchmen animation The Tales of the Black Freighter], Sunday Mail (March 8),
Millar. John,2002, Wherefore Art Thou Gnomeo? Disney casts elves as Shakespeare's lovers, Sunday Mail (November 3),
Todd. Roxanne,2008, King's second graphic-novel series arriving [Stephen King], Sunday News (March 1),
Abeynayake. Rajpa,2006, On meeting those cartoonists of the Prophet [Danish Islam cartoons], Sunday Observer (June 11),
Battles. Jan,2004, Cartoon makers cut up by RTE snub [Ireland animators], Sunday Times - Ireland (October 24),Newspaper / Magazine
Franchetti. Mark,2001, Stalin drew cartoons of his victims' fate [Soviet Union], Sunday Times (July 8),Newspaper / Magazine
Unknown,1994, Millions mourn loss of Gallic hero [Asterix], Sunday Times (June 5),Newspaper / Magazine
Unknown,2001, David Taylor 1947-2001. ex-editor of Punch [obituary], Sunday Times (November 18),Newspaper / Magazine
Brassey. Tania,1978, Meet the man who makes children do terrible things. Tania Brassey introduces Edward Gorey whose macabre stage sets are soon to be seen for the first time in London, Sunday Times [of London] (August 13),Newspaper / Magazine
Scarfe. Gerald,1986, Drawing from Experience, Sunday Times Magazine (November 2). 55-60,Newspaper / Magazine
McGinty. Stephen,2000, Gay superheroes come out of the comic closet [Mark Millar and The Authority], Sunday Times of London (February 27),Newspaper / Magazine
Unknown,1990, Oddball museums in the Bay Area [cartoon art museum], Sunset (Central West) 183(Oct).22-25,
Douglas. Edward,2006, Exclusive. V Co-Creator David Lloyd [interview], Superhero Hype! (February 13),
Douglas. Edward,2007, Exclusive. The Makers of Persepolis [Satrapi interview], Superhero Hype.com (December 19),
Unknown,1911, Make comics educational, Survey,
Huor. Jesper,2002, Suverna serier har svart att na ut [Danish publisher Egmont's monopoly in Sweden], Svenska Dagbladet (April 16),
Neuman. Ricki,2004, Humor fran en mork tid [Swedish review of Marjane Satrapi's ''Persepolis''], Svenska Dagbladet (April 20),
Penalty. Jeff and Simon Steinhardt,2006, Robbie Conal. Guerrilla artist. commentator and dissident [caricaturist], Swindle Magazine (Icons issue). 142-143,
Keehn. E,2006, Crumb. Artist. illustrator and underground comics pioneer, Swindle Magazine (Icons issue). 48-49,
Lechot. Bernard,2006, Cartoonist urges calm over Mohammed images [Swiss cartoonist Chappatte. Danish Islam cartoons], Swissinfo (February 6),
Associated Press,1999, Lee Falk. Cartoon genius. 1911-1999, Sydney [Australia] Morning Herald (March 17),
Bunbury. Stephanie,2008, Humour so graphic it surprises; The Iranian artist and exile Marjane Satrapi's work subverts stereotypes in a most appealing way. writes Stephanie Bunbury [Persepolis animation], Sydney Morning Herald,Newspaper / Magazine
Barlow. Helen,2007, Rat in the hat [Ratatouille], Sydney Morning Herald,Newspaper / Magazine
Moses. Alexa,2004, Unleash the inner animal. Teaming up with an orchestra adds a new layer to Leunig's madcap carnival [music. Australia], Sydney Morning Herald,Newspaper / Magazine
Unknown,2007, France looks at a change of course [Danish Islam cartoons. Charlie Hebdo], Sydney Morning Herald,Newspaper / Magazine
Purcell. Charles,2008, Just plain batty. Two lives. a dark past - Batman may need help. writes Charles Purcell, Sydney Morning Herald,Newspaper / Magazine
Sutherland. John / Sun-Herald,2002, Muscling in. Brawn beats the bedroom at the movies these days as Hollywood finds comic book heroes are where the money is John Sutherland writes, Sydney Morning Herald,Newspaper / Magazine
Sutherland. John / Sun-Herald,2002, Muscling in. Brawn beats the bedroom at the movies these days as Hollywood finds comic book heroes are where the money is. John Sutherland writes, Sydney Morning Herald,Newspaper / Magazine
Juddery. Mark,2009, Drawing strength from life among comic superheroes; A Sydney artist who loves Wonder Woman is making a mark. writes Mark Juddery [Nicola Scott], Sydney Morning Herald,Newspaper / Magazine
Elder. Bruce,2006, Tintin and the Secret of Literature [book review], Sydney Morning Herald,Newspaper / Magazine
Maddox . Garry,1999, Animators give world a taste of our pudding [Norman Lindsay's children's classic 'The Magic Pudding' into an Australian animated feature film], Sydney Morning Herald,Newspaper / Magazine
AAP,2008, Foxtel falls foul over cartoon 'Death sex' [Family Guy], Sydney Morning Herald,Newspaper / Magazine
Molitorisz. Sacha,2003, Comic genius. A file clerk created a superhero-free cult comic and became the subject of one of the movies of the year [Harvey Pekar and American Splendor], Sydney Morning Herald,Newspaper / Magazine
